End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
Mar,147564.0,51.3,69553.0,217168.3,1.0783126427466294,3.9726525086568922,4.924210749281662,,
Apr,144902.0,126.0,71066.0,216094.0,1.1012476052088442,4.064564495080845,5.019375827186317,,
May,140549.8,27.5,71449.7,212027.0,1.1037320718587726,4.132318053832766,5.0945304135794025,,
Jun,140033.2,24.4,72361.1,212418.7,1.121104686169344,4.179381099686609,5.1070550756595345,,
Jul,142839.7,22.2,71982.9,214844.80000000002,1.102582422288089,4.166922355114017,5.09692578084273,,
Aug,144597.1,62.4,69235.4,213894.9,1.1156058419345203,4.2383086272744235,5.129570176755032,,
Sep,146411.2,19.1,75710.1,222140.40000000002,1.0782559138274714,4.1370399080941604,5.024879310562149,,
Oct,150190.8,19.1,75303.0,225512.9,1.0922350783480679,4.225291324797827,5.1230044933128,,
Nov,150334.1,10.5,76282.7,226627.3,1.0723156477617657,4.2717514615406005,5.190769602779542,,
Dec,157239.6,8.3,82615.4,239863.3,1.082638839670979,4.140967135406461,5.021829127460259,3.2581733268648145,2.6587934047052966
2007 Jan ,157516.6,7.5,79257.8,236781.90000000002,1.0784075978780472,4.2088314182798605,5.102177151209615,,
Feb,160083.8,7.3,77829.2,237920.3,1.0924494463061791,4.261471173329893,5.189933771939596,,
Mar,173157.3,6.0,79790.7,252954.0,1.0546134870371688,4.081937427358334,4.975377341334789,,
Apr,168102.3,6.1,81228.7,249337.09999999998,1.0609018874447484,4.196678713276123,5.079083297271043,,
May,161613.8,4.0,84602.6,246220.4,1.0841686296807733,4.2666639590610025,5.207818211355698,,
Jun,160179.5,7.5,87659.3,247846.3,1.0466216925026024,4.289002041590343,5.22108083245241,,
Jul,162850.0,5.7,84353.5,247209.2,1.0324826361499784,4.320441407877545,5.311299345897601,,
Aug,164217.9,4.4,92841.5,257063.8,1.0160080882644698,4.221863599620017,5.215619624388965,,
Sep,168986.0,5.8,87723.1,256714.9,1.012683330807834,4.27577324105457,5.287577386431407,,
Oct,167591.4,3.9,88923.7,256519.0,0.9901831833119573,4.312961612979936,5.291568265898433,,
Nov,168543.5,2.0,95534.9,264080.4,0.9737920724143101,4.287760091244938,5.262999071494892,,
Dec,173363.7,2.7,91053.0,264419.4,1.00821649243588,4.34061343456645,5.309816526321442,3.344476251202157,2.734163741484169
2008 Jan ,171662.99,2.83,88758.05,260423.87,0.9917300217069172,4.394223802039674,5.370571595003377,,
Feb,175904.098,1.167,97103.896,273009.16099999996,0.9744070895779335,4.2313035604660945,5.1535409795713845,,
Mar,187760.94,2.31,88582.93,276346.18,1.0342288290765924,4.30101756493671,5.176362241537782,,
Apr,186905.35,6.88,93288.77,280201.0,0.9740982366229956,4.255378460462311,5.1958130056637915,,
May,179542.23,6.03,98027.71,277575.97000000003,0.9661008034198934,4.277484104347676,5.226291619697531,,
Jun,176420.96,6.65,94784.63,271212.24,1.009110953792605,4.431927790805717,5.421832367299382,,
Jul,183525.71,4.3,97761.96,281291.97,0.9572899335921391,4.339305774782077,5.281696599974404,,
Aug,180783.05,3.41,101789.18,282575.64,0.9588489031434763,4.349517669070624,5.233330042179847,,
Sep,180510.78,3.16,99700.76,280214.7,0.9820751922630837,4.456014132005781,5.358449761790054,,
Oct,177575.84,17.16,98509.58,276102.58,0.9656446552839416,4.524424616066636,5.395855381296663,,
Nov,174466.77,15.11,79086.93,253568.80999999997,1.0341938755872173,4.942689321399163,5.880576790204474,,
Dec,186098.91,15.12,82311.21,268425.24,1.0331466643221277,4.776726253719844,5.67299828779116,3.6369691294490307,3.0102194490646075
2009 Jan ,177969.9,12.9,85786.8,263769.6,1.0069947408647546,4.883665517178629,5.793897780487214,,
Feb,179938.0,13.4,78145.6,258097.0,1.029208785844082,5.054696877530541,5.991984021511293,,
Mar,192707.9,13.0,73630.1,266351.0,1.0245153950989485,4.97352628674193,5.937955179443667,,
Apr,191341.9,12.9,69821.8,261176.59999999998,1.0361689582160758,5.144153964552775,6.145774321628627,,
May,189939.3,13.1,78650.7,268603.1,1.0116405953617067,5.06419955689268,6.047053440559696,,
Jun,185341.207095,13.745,77205.988607,262560.940702,1.0243053293252515,5.2596471546228,6.268169009824756,,
Jul,187713.599835,18.357,87859.519223,275591.476058,1.0054380173500161,5.122429117786498,6.107106261523349,,
Aug,192017.551199,14.805,84564.472702,276596.828901,1.0322065396977071,5.190044409779203,6.156789407674688,,
Sep,192070.849926,14.001,82436.470264,274521.32119,1.0683125642268807,5.323226728140278,6.323806445867062,,
Oct,197216.698085,16.621,91597.172822,288830.491907,1.0197728843557103,5.059524017096975,6.07761135438235,,
Nov,200620.784636,16.557,87526.625656,288163.967292,1.0880312418849192,5.194973333595688,6.143933418932068,,
Dec,217429.833543,21.603,86085.865713,303537.302256,1.1092871927470793,5.0628209842219585,5.950401868201876,3.4525617491211786,2.903269165607256
2010 Jan ,221237.509583,26.47,87925.835486,309189.815069,1.0988570479197022,5.018742509371846,5.823626261266507,,
Feb,221149.292447,45.582,89613.665088,310808.539535,1.0968033407690263,5.036498682885875,5.838888157749314,,
Mar,240246.376453,45.368,88560.973664,328852.718117,1.1030827272236787,4.868331457079199,5.630701130199563,,
Apr,244645.78114,48.151,80310.805673,325004.737813,1.082813806902397,4.933188166083616,5.750260743819826,,
May,236078.909012,22.375,94507.028249,330608.312261,1.072541569651421,4.9070280186946595,5.672175757814445,,
Jun,232526.250376,22.382,90358.343303,322906.975679,1.0789607625178603,5.072347984013896,5.826537491204696,,
Jul,233047.518291,2.707,98762.946417,331813.171708,1.0583558234422952,4.975593184322633,5.7754844401599135,,
Aug,241823.672333,3.093,94971.360051,336798.125384,1.0726562712458687,4.985804916729394,5.759267160526167,,
Sep,243339.910365,2.947,95128.315004,338471.172369,1.1044793546574097,5.078687365012151,5.825969217604885,,
Oct,244983.22024,2.842,103448.947416,348435.009656,1.0910477328102317,5.000523111845305,5.762414080319902,,
Nov,247274.809255,8.98,96806.729454,344090.518709,1.1062797855452606,5.125319780674104,5.877254100732753,,
Dec,255652.216808,5.709,104853.445193,360511.371001,1.1294836883686272,5.028967115023097,5.801225697596787,3.98782905422173,3.452626309793076
2011 Jan ,253223.153135,26.702,109635.816239,362885.671374,1.1237640414635504,5.048514396730605,5.789853691763833,,
Feb,263409.795113,22.108,102651.950266,366083.853379,1.1339252902592574,5.089248097194539,5.83499414113742,,
Mar,282869.725895,7.295,99262.942329,382139.96322399995,1.0968316561180225,4.971488541305394,5.6947690498773635,,
Apr,289405.600546,7.906,116041.134166,405454.640712,1.0445636294865455,4.774262569481718,5.455780166369996,,
May,275051.508806,7.293,124969.750047,400028.551853,1.057989514949909,4.8923117439063954,5.597190997469813,,
Jun,271037.427518,7.256,126149.769839,397194.453357,1.0598176361315528,5.016320346880634,5.717386405915745,,
Jul,275719.761841,7.326,137445.011747,413172.099588,1.047905768541625,4.903392833805254,5.596421434214903,,
Aug,285350.35122,6.332,134580.287425,419936.970645,1.0393715531284262,4.904100821218397,5.571479451383277,,
Sep,283919.752495,1.275,138356.752943,422277.78043800005,1.0309924267527297,4.952016953445138,5.635781440289647,,
Oct,289352.31005,6.98,136100.121582,425459.41163199994,1.0203357717270891,4.974994399359717,5.6525992487432655,,
Nov,284464.527876,2.115,135878.785032,420345.42790799995,1.0103289329442648,5.090403813170004,5.801579987450216,,
Dec,293233.360505,1.754,146269.185101,439504.299606,0.998186919545874,4.988809175416944,5.6694322511754,3.7291588587941114,3.268564704554875
2012 Jan ,290901.111155,1.774,143995.770316,434898.655471,0.9925989477718572,5.097706679962831,5.80154478105472,,
Feb,296741.147359,1.493,142663.92921,439406.56956900004,0.9941548225563871,5.1676968103511225,5.9276682651779,,
Mar,315363.482359,1.239,155781.777067,471146.498426,0.952190824094498,4.926644895315023,5.673026577471229,,
Apr,309529.334395,445.866,139331.457884,449306.65827899997,0.9886305048639232,5.238037699126123,6.051918831596393,,
May,300766.671141,3.802,148708.933221,449479.40636200004,0.9675037413244548,5.231318373836538,6.0228760773028736,,
Jun,297323.529665,3.72,160198.889573,457526.1392379999,0.9459129099856801,5.2048236797824625,5.982325021143611,,
Jul,303094.920453,3.841,160313.86603,463412.62748300005,0.9448683222100862,5.201051966452807,5.979329163666835,,
Aug,310386.979387,3.279,162559.915313,472950.17370000004,0.9281413813996872,5.157788236177891,5.948636365555567,,
Sep,306960.952996,3.642,166177.134452,473141.72944799997,0.9294324469953152,5.188740252635768,5.978443072637868,,
Oct,306059.011022,3.718,165053.446249,471116.175271,0.903042238927894,5.228679681776216,6.033674372096579,,
Nov,304739.381462,4.096,172147.355104,476890.83256600006,0.9017086544747055,5.304865156638125,6.0404953708405715,,
Dec,318060.141497,13.92,166288.377889,484362.439386,0.9291571207760299,5.353810796663197,6.047269438090185,3.7473589403022878,3.2659460638656035
2013 Jan ,309377.633856,13.339,174705.022832,484095.99568799994,0.9101501525556243,5.427423378943536,6.165371752361958,,
Feb,312007.686648,13.705,174706.832,486728.223648,0.9192028027019845,5.523060435186758,6.262373256709421,,
Mar,332260.995181,1.509,180133.406645,512395.91082600004,0.9083065791125046,5.365854772011752,6.0299973580829205,,
Apr,328463.341405,2.613,171821.684716,500287.639121,0.9056483130266118,5.573468639157422,6.261718425948139,,
May,318444.877687,2.504,188763.921402,507211.303089,0.8726307565534197,5.5192327422557215,6.205438872399867,,
Jun,313024.100493,2.682,187274.437843,500301.22033599997,0.8875509753659664,5.68424612140081,6.335802404179271,,
Jul,316965.559466,9.824,139130.649325,456106.03279100003,0.9751092375965082,6.304696379071314,7.07186738125498,,
Aug,323622.033748,0.974,142960.91039,466583.91813799995,0.9710844200742262,6.180002448552373,6.953885642406461,,
Sep,322886.088592,15.471,142841.136488,465742.69608,0.9873236576446797,6.306504381744463,7.062122494905891,,
Oct,325073.643938,1.42,141776.57331,466851.637248,1.0309780172181713,6.431223909503088,7.202504278165956,,
Nov,323728.161737,0.995,148268.100909,471997.257646,0.9626576219279239,6.351183355154828,7.12533052725957,,
Dec,339770.98047,4.7393,148809.893158,488585.61292800005,0.9917975473837979,6.26050533101505,6.9954021123524965,3.4818679667892245,3.099684321565699
2014 Jan ,335843.50337,21.581,149314.696183,485179.780553,0.9911440783144287,6.378192072969035,7.1330498167691125,,
Feb,340982.420541,14.506,153618.32297,494615.249511,0.9939824648573965,6.30841981109118,7.06691831018711,,
Mar,370648.90627,15.5297,150887.945101,521552.381071,0.9805535954448663,6.069975660993162,6.783719197823327,,
Apr,361430.972818,12.418,153895.822449,515339.21326700004,0.9845857060330389,6.161220472896469,6.881837403056349,,
May,355129.416296,12.3897,144357.672199,499499.478195,1.0088725125920348,6.363916633338375,7.118176184758533,,
Jun,356438.14525,12.255,151216.220071,507666.620321,1.0227625462960184,6.331549669932155,7.0771447969790975,,
Jul,372066.128574,12.233,152427.30002,524505.661594,0.9956470285047805,6.159330737115452,6.8789106657967825,,
Aug,374038.946028,1.7332,158014.722749,532055.4019770001,1.0162028892986839,6.126888743858518,6.845494631018554,,
Sep,376811.663255,8.179,160067.684884,536887.527139,1.0057416314910999,6.17775559102585,6.90953021874353,,
Oct,382427.872361,8.53,165237.905387,547674.307748,0.99782426773697,6.119089629166995,6.842808781734393,,
Nov,392488.857933,8.559539,159352.520497,551849.937969,1.0297415757396025,6.1584659381966125,6.876551300791815,,
Dec,416895.361756,7.302,161009.323174,577911.98693,1.0592536145095528,5.9880360373095405,6.706649670083809,3.3183384922508097,2.967909703835395
2015 Jan ,412521.103444,7.39,163576.055834,576104.549278,1.0366089227023665,6.018969441113936,6.7626728662807505,,
Feb,419013.779078,2.161142,163938.270271,582954.210491,1.0235426463211246,5.991137361194032,6.735743825754033,,
Mar,455811.002755,7.233369,163742.431101,619560.667225,1.022216839627105,5.73572412397584,6.4249578674620285,,
Apr,449139.935959,2.976709,163512.428307,612655.340975,1.0287976234662746,5.865296881028305,6.591242122133548,,
May,437795.876968,3.893,152012.345333,589812.115301,1.0695006247779095,6.173611791486755,6.956092464262133,,
Jun,438491.428489,2.394,169551.305961,608045.12845,1.035122029536589,6.048034239541486,6.8105151722730435,,
Jul,455961.811024,52.526946,174317.166003,630331.503973,1.0186036288224336,5.921071112888352,6.653448769995629,,
Aug,464029.894408,14.136782,173182.482078,637226.513268,1.0200339854622948,5.938030066107134,6.67346194927875,,
Sep,465638.596029,7.155133,174845.648128,640491.39929,1.0311541242569682,5.966986315971706,6.721406399561725,,
Oct,465382.768171,4.006888,179027.717236,644414.492295,1.0320720301267508,6.017370091619349,6.804392477418487,,
Nov,466361.371918,535.894,184228.114155,651125.380073,1.0281077849137874,6.05985572888532,6.830680352070154,,
Dec,491699.948669,5.143688,181726.731701,673431.824058,1.0617079926496331,6.024681311142743,6.780073689299794,3.1090967406805152,2.7630837555520227
2016 Jan ,482806.984088,6.634007,235747.813761,718561.4318560001,0.9635793044703177,5.7099524837665285,6.454956080548384,,
Feb,491203.771604,153.6385416,247978.972038,739336.3821836,0.9475191513740975,5.62451627215464,6.362217277844866,,
Mar,543476.409377,6.836439,248134.902153,791618.1479689999,0.9216639212780802,5.313671654458742,5.977169677797979,,
Apr,522200.143828,6.62946293,240895.180253,763101.9535439301,0.9376837214383276,5.5589704357357865,6.2535862968330145,,
May,507259.166365,6.596407,226002.387834,733268.150606,0.9571230507379647,5.783809099485654,6.520394065353525,,
Jun,507543.487561,6.41353293,249609.428798,757159.32989193,0.9319330051227712,5.692966056789089,6.397251722937791,,
Jul,517605.257544,5.40963317,256885.024318,774495.69149517,0.9252249057058038,5.674279120608351,6.37890225730573,,
Aug,521641.515776,5.6506084,264043.884614,785691.0509984,0.9089876336212137,5.644507701040917,6.349268065341873,,
Sep,524215.039468,16.70046198,269504.642305,793736.38223498,0.9188480893232751,5.734826230848532,6.420567837411927,,
Oct,520299.256219,16.67029792,272440.471126,792756.39764292,0.9178425512318138,5.823686130550083,6.516166379591176,,
Nov,518592.934404,16.03515892,280359.090909,798968.0604719201,0.901416946837053,5.861604775922722,6.566872485206559,,
Dec,552777.865468,117.58178892,303251.290266,856146.7375229199,0.9071160607163195,5.634033118211571,6.313866339483312,2.9138924520867078,2.5922293245323234
2017Jan,534482.943177,17.09764964,293969.055126,828469.09595264,0.8966554970001024,5.873497412940081,6.590985329987122,,
Feb,545794.942535,17.19514964,301816.099122,847628.2368066399,0.8784457282367486,5.8413738571702725,6.549989121620554,,
Mar,584069.827918,17.30272864,308076.603317,892163.73396364,0.8765485224896077,5.712183780448685,6.36363231376789,,
Apr,580066.1678,16.1418314,305477.375687,885559.6853184,0.8640813287466633,5.811922112695989,6.471358671015117,,
May,560572.480869,15.7518314,299205.820009,859794.0527094,0.8627426055517424,6.064685970680699,6.749484439771677,,
Jun,562770.150291,14.7608314,328854.267846,891639.1789684,0.8455107344471212,5.92326719387863,6.586191697639545,,
Jul,565451.086001,15.7925,329163.279462,894630.157963,0.858933457446424,5.999130144704968,6.6917247910392526,,
Aug,581694.562163,12.60378416,329682.27952,911389.44546716,0.8329451527113542,5.950295502799487,6.638856227048086,,
Sep,574354.809218,17.76177416,334633.740739,909006.3117311599,0.8301573733003293,6.0540276700121805,6.745975634349794,,
Oct,575044.708225,23.75486976,340312.655276,915381.11837076,0.811890865444685,6.043937352558444,6.728609407551738,,
Nov,575599.915323,23.6686512,335993.700219,911617.2841932001,0.8241294195514378,6.088023525560968,6.783484891996684,,
Dec,598053.901017,27.1906512,341712.198338,939793.2900062,0.844120923863977,6.0282545980125315,6.7121797987750265,2.7147129094522873,2.434511864925109
2018 Jan,587933.365008,26.8157055,342023.07686,929983.2575734999,0.831644692222187,6.171093550768493,6.858582644795236,,
Feb,592981.735073,24.1082263,345128.233749,938134.0770483,0.8216793343907205,6.210941850883551,6.875885845796703,,
Mar,639432.168591,25.3382263,357787.574117,997245.0809343,0.8435037957131004,6.012051455274405,6.624898341506269,,
Apr,635838.628172,23.5268323,364199.233403,1000061.3884073,0.8124985563829902,6.043340559066608,6.691319042958729,,
May,611449.546628,23.33361606,361896.306148,973369.18639206,0.8126071457859662,6.213186973289,6.853461513887122,,
Jun,624237.531104,28.06198006,374366.794706,998632.38779006,0.8056132838315179,6.129230553749906,6.756889105057675,,
Jul,619580.329145,28.08321865,381775.341779,1001383.7541426499,0.7906765953183817,6.152252997067328,6.7859919865851595,,
Aug,619587.510055,118.09932977,385007.608495,1004713.21787977,0.7878406709898507,6.214428814995377,6.834201719842057,,
Sep,623579.917674,107.051405773,386854.810991,1010541.7800707731,0.8005487447101055,6.218892596378848,6.86106928823311,,
Oct,613590.211761,62.90952084,384774.969312,998428.09059384,0.7838912396188031,6.335929230536084,6.999373954908442,,
Nov,620429.668778,100.06184047,321077.072373,941606.80299147,0.8377383651354269,6.749438575661016,7.479373495470718,,
Dec,640942.509796,47.61990935,320106.182918,961096.3126233498,0.864422478653224,6.687497913087621,7.416839078286582,2.5040179866913173,2.2659586937466694
2019 Jan,626163.137191,47.88844302,322917.501909,949128.5275430201,0.8433956781893662,6.76318874328226,7.492058532725114,,
Feb,636022.555545,47.39988702,326968.51194,963038.46737202,0.8370534144287918,6.718868735040411,7.464497270638029,,
Mar,687638.273246,47.13147611,275252.894656,962938.29937811,0.8864205469914492,6.802141039351404,7.532471450943758,,
Apr,677374.27681,45.0452314,246809.612689,924228.9347304,0.8962248988839786,7.125419548112734,7.893559005769494,,
May,622753.617103,42.68394151,226623.804613,849420.1056575101,0.9444188721757947,7.7951766717449,8.587933502472229,,
Jun,621554.812588,78.13808166,252900.1047506,874533.05542026,0.9185758992037635,7.616900249508021,8.390497198888912,,
Jul,627073.073966,46.89059512,261299.237425,888419.20198612,0.8990639197514768,7.538607281420238,8.279235103495104,,
Aug,646145.71147,99.99577275,267171.853675,913417.56091775,0.8956781986266406,7.372031478656998,8.098011896802998,,
Sep,650011.155183,65.84943355,264590.482512,914667.4871285501,0.9217225491005809,7.392044165746969,8.137920621750773,,
Oct,649272.795101,54.39797929,259031.128313,908358.32139329,0.8923748228066576,7.424079762084773,8.208580447581554,,
Nov,657717.696334,53.62037565,261141.860594,918913.17730365,0.8897979141945234,7.389591949754029,8.132228415420862,,
Dec,677967.150306,55.68853959,254581.619737,932604.45858259,0.9280107812565702,7.412263419601066,8.175084944902798,2.3882252196845246,2.1640257680567743
2020 Jan,668042.40587,106.61432719,267408.957306,935557.97750319,0.9182027979877505,7.483305107722539,8.23441905809921,,
Feb,683736.897663,106.00774636,279439.936805,963282.8422143601,0.8992152663076336,7.35153828149519,8.090044739365478,,
Mar,805190.349161,107.17660836,208499.444598,1013796.97036736,0.9516263959378084,7.236111357067018,7.988038382389508,,
Apr,821169.956779,107.17060836,200312.310002,1021589.4373893599,0.9715275745750356,7.308315353948981,8.084458067656824,,
May,801183.6425,106.57060836,195249.179304,996539.39241236,0.995221704330751,7.549940941538353,8.321918541684255,,
Jun,768941.034161,106.04840772,99905.635055,868952.7176237201,1.152940413275223,8.750910204292213,9.626240930124657,,
Jul,768385.177082,112.96851588,110333.661248,878831.80684588,1.1658536831445854,8.781853577541058,9.680342791279951,,
Aug,767990.770916,114.45340782,111723.198877,879828.42320082,1.2030315358818857,8.931782223089353,9.879222982008644,,
Sep,775333.929161,31.16493282,116024.265476,891389.35956982,1.1861976868941968,9.005122284525646,9.951240553604974,,
Oct,810746.263061,58.47805803,117582.838651,928387.5797700301,1.1694838635432585,8.796391894636663,9.71305538725995,,
Nov,814896.834582,35.86246784,121324.04362,936256.74066984,1.169530715498445,8.827294880104548,9.75761715368176,,
Dec,834807.85929,30.35301794,129601.52093,964439.73323794,1.2205532382158935,8.809040104808028,9.752536780266746,2.03 (b),1.84 (b)
2021 Jan,844767.783221,29.85753627,131099.477093,975897.11785027,1.2123549581440571,8.812423397267082,9.768136795838188,,
Feb,852784.300594,41.12605032,125264.229523,978089.65616732,1.226824084544912,8.901226807920528,9.867097231515828,,
Mar,900618.420984,41.15990721,127939.768945,1028599.34983621,1.1985368017766278,8.61422288785594,9.565081651420847,,
Apr,911082.15967,36.32878054,120025.892453,1031144.38090354,1.2066201087914676,8.674482971278588,9.646887825173666,,
May,920335.183455,31.87932711,115642.949058,1036010.0118401101,1.203222895770136,8.703363970127047,9.684243502439111,,
Jun,950083.442487,29.56596636,114951.245395,1065064.2538483602,1.2143212877488043,8.578092532671873,9.543802393217666,,
Jul,942804.051491,29.10345814,121032.78004,1063865.9349891401,1.2378999361104492,8.713110398767268,9.685044844574017,,
Aug,967151.349376,28.99795814,122085.289882,1089265.63721614,1.244137737609758,8.641051642627046,9.652048244777756,,
Sep,996379.850814,31.74795814,299544.189729,1295955.78850114,1.0175875107270143,7.291133802666624,8.092946027800552,,
Oct,987573.305808,36.61895725,298830.964411,1286440.88917625,1.0670300908984758,7.412660964712829,8.22558550197925,,
Nov,969394.389541,30.76955624,318377.711316,1287802.8704132398,1.0522705034291466,7.385179327262557,8.188974498598947,,
Dec,1005099.066205,5.46067262,300704.162128,1305808.68900562,1.1180010340460653,7.381560131751532,8.153804648683524,1.92 (b),1.73 (b)
2022 Jan,1025301.896222,3.37369062,312184.223858,1337489.49377062,1.1217676111278156,7.215733907474538,7.975932218536002,,
Feb,1029673.270077,28.09594521,294533.079087,1324234.44510921,1.1380880008448273,7.352035026531872,8.121757688589076,,
Mar,1099324.471297,19.48640323,287356.17182346,1386700.1295236903,1.1463283991664206,7.264290194625403,8.347557193041462,,
Apr,1170677.086617,19.53752378,311108.32033,1481804.94447078,1.1034736775883551,6.87906033908277,8.058150986335363,,
May,1155711.437972,27.50788343,259111.11249817003,1414850.0583536,1.1336298991271472,7.150932645789141,8.408642878697085,,
Jun,1114776.482116,23.21982843,337796.69848301,1452596.4004274402,1.063939496463477,6.9831002811782685,8.193157607635666,,
Jul,1124364.707603,20.14170643,312062.73751419,1436447.58682362,1.0894078780192764,7.138136740211917,8.322854458982489,,
Aug,1079736.979593,55.03952527,306455.6321461,1386247.65126437,1.1066667147951765,7.419985897727338,8.647020028485679,,
Sep,1043918.574571,15.05855503,334644.94424663,1378578.57737266,1.1088196033687656,7.5087802123831775,8.741960906714095,,
Oct,1026031.852538,15.08780962,315633.57691088,1341680.5172585,1.0857191718891388,7.705548250760599,8.978082914862112,,
Nov,1005778.223473,12.47606793,312702.56015369,1318493.25969462,1.1057899723596434,7.900655660093243,9.22487377563114,,
Dec,1026567.252517,11.62803066,322809.70148391,1349388.58203157,1.0772265534166585,7.779117569262992,9.107559571157648,2.374056238267268,2.0517882192783596
2023 Jan,1030153.404193,8.267561,559557.47431104,1589719.1460650403,0.8878082276718436,6.616465945337908,7.751345328027479,,
Feb,1026259.925228,7.96853604,478416.84252408,1504684.73628812,0.9565591706676528,7.0113450968395625,8.204909924093064,,
Mar,1110108.886001,9.37318774,314092.96669897996,1424211.22588772,1.037739779583269,7.484609630880708,8.631691037455155,,
Apr,1104398.599349,31.49720319,312643.8330005,1417073.9295526901,1.0581239357917618,7.606815780322621,8.741004776934298,,
May,1072326.591775,23.88019188,486773.82474643,1559124.29671331,0.9601770164031722,6.951269454795585,7.893244697635542,,
Jun,1123316.722542,14.91452048,312479.23018585,1435810.86724833,1.081183569851049,7.643035439810809,8.717450573121818,,
Jul,1096017.79814,20.1701767,277744.28150281,1373782.2498195102,1.1147698667579267,8.06592078000099,9.263659337453012,,
Aug,1113759.247649,4.43688084,293555.04668835,1407318.73121819,1.0775301653579241,7.8457301445702,9.02275956828324,,
Sep,1112393.127191,33.981,131573.44584994,1244000.5540409398,1.2227698486402283,8.943066748765187,10.293936780305943,,
Oct,1080712.438712,7.6108,315808.83576076,1396528.88527276,1.0724301382563126,8.00214208201883,9.208101866597547,,
